Time,stamp.secs,stamp.nsecs,left,right
1609129558.2791238,1609129558,277702093,0.0,0.0
1609129558.3817537,1609129558,380764007,0.0,0.0
1609129558.4850156,1609129558,483724117,0.0,0.0
1609129558.5855813,1609129558,585031986,0.0,0.0
1609129558.6828427,1609129558,681998968,0.0,0.0
1609129558.7906742,1609129558,789650917,0.0,0.0
1609129558.8873227,1609129558,885428905,0.0,0.0
1609129558.9910123,1609129558,989847898,0.0,0.0
1609129559.0904248,1609129559,87898969,0.0,0.0
1609129559.1835687,1609129559,182713985,0.0,0.0
1609129559.289788,1609129559,288795948,0.0,0.0
1609129559.3854456,1609129559,383363962,0.0,0.0
1609129559.4906738,1609129559,490040063,0.0,0.0
1609129559.584823,1609129559,583003997,0.0,0.0
1609129559.685276,1609129559,683006048,0.0,0.0
1609129559.7849646,1609129559,783277034,0.0,0.0
1609129559.8877597,1609129559,886327981,0.0,0.0
1609129559.9897838,1609129559,988094091,0.0,0.0
1609129560.0891674,1609129560,86174964,0.0,0.0
1609129560.189746,1609129560,189232110,0.0,0.0
1609129560.2890136,1609129560,286932945,0.0,0.0
1609129560.3826704,1609129560,381052970,0.0,0.0
1609129560.4794533,1609129560,478709936,0.0,0.0
1609129560.5887628,1609129560,586951017,0.0,0.0
1609129560.6803355,1609129560,679351091,0.0,0.0
1609129560.790512,1609129560,789051055,0.0,0.0
1609129560.884119,1609129560,882407903,0.0,0.0
1609129560.9910774,1609129560,990084886,0.0,0.0
1609129561.085751,1609129561,83993911,0.0,0.0
1609129561.186393,1609129561,184453964,0.0,0.0
1609129561.2884266,1609129561,286968946,0.0,0.0
1609129561.38968,1609129561,387435913,0.0,0.0
1609129561.4842095,1609129561,483726024,0.0,0.0
1609129561.5913765,1609129561,590198993,0.0,0.0
1609129561.6879313,1609129561,687424898,0.0,0.0
1609129561.7843058,1609129561,782779932,0.0,0.0
1609129561.8858654,1609129561,883671045,0.0,0.0
1609129561.9936066,1609129561,992001056,0.0,0.0
1609129562.0902345,1609129562,88419914,0.0,0.0
1609129562.1787293,1609129562,178275108,0.0,0.0
1609129562.2895944,1609129562,289038896,0.0,0.0
1609129562.3863935,1609129562,385812044,0.0,0.0
1609129562.4900663,1609129562,489090919,0.0,0.0
1609129562.5935163,1609129562,591228961,0.0,0.0
1609129562.689658,1609129562,688143014,0.0,0.0
1609129562.79712,1609129562,796160936,0.0,0.0
1609129562.889062,1609129562,888026952,0.0,0.0
1609129562.9869058,1609129562,985014915,0.0,0.0
1609129563.0930877,1609129563,91535091,0.0,0.0
1609129563.1829612,1609129563,180609941,0.0,0.0
1609129563.2969959,1609129563,294589042,0.0,0.0
1609129563.3934546,1609129563,392179965,0.0,0.0
1609129563.4912305,1609129563,489557981,0.0,0.0
1609129563.5909936,1609129563,589860916,0.0,0.0
1609129563.690696,1609129563,689332962,0.0,0.0
1609129563.7927916,1609129563,789803981,0.0,0.0
1609129563.88629,1609129563,884943962,0.0,0.0
1609129563.9920678,1609129563,989814996,0.0,0.0
1609129564.093721,1609129564,92665910,0.0,0.0
1609129564.1816611,1609129564,180291891,0.0,0.0
1609129564.2822137,1609129564,279973030,0.0,0.0
1609129564.3956602,1609129564,390897035,0.0,0.0
1609129564.4853156,1609129564,483263969,0.0,0.0
1609129564.5839734,1609129564,582381963,0.0,0.0
1609129564.6866293,1609129564,685939073,0.0,0.0
1609129564.7906156,1609129564,788887977,0.0,0.0
1609129564.8924801,1609129564,891135931,0.0,0.0
1609129564.9866543,1609129564,986102104,0.0,0.0
1609129565.0828152,1609129565,81423044,0.0,0.0
1609129565.1802094,1609129565,179271936,0.0,0.0
1609129565.2898552,1609129565,289381027,0.0,0.0
1609129565.3921182,1609129565,391661882,0.0,0.0
1609129565.4975696,1609129565,495091915,0.0,0.0
1609129565.5874374,1609129565,585196971,0.0,0.0
1609129565.6847672,1609129565,683298110,0.0,0.0
1609129565.7947903,1609129565,792057991,0.0,0.0
1609129565.8937194,1609129565,892127037,0.0,0.0
1609129565.9953108,1609129565,994781970,0.0,0.0
1609129566.085538,1609129566,84597110,0.0,0.0
1609129566.179858,1609129566,179208040,0.0,0.0
1609129566.2887137,1609129566,283691883,0.0,0.0
1609129566.3850272,1609129566,384552955,0.0,0.0
1609129566.4920871,1609129566,491622924,0.0,0.0
1609129566.5910995,1609129566,590046882,0.0,0.0
1609129566.6940627,1609129566,693065881,0.0,0.0
1609129566.7948964,1609129566,793359994,0.0,0.0
1609129566.8872209,1609129566,885869026,0.0,0.0
1609129566.989132,1609129566,988578081,0.0,0.0
1609129567.0948472,1609129567,93986034,0.0,0.0
1609129567.1884475,1609129567,186654090,0.0,0.0
1609129567.295452,1609129567,294037103,0.0,0.0
1609129567.3986063,1609129567,397196054,0.0,0.0
1609129567.4922738,1609129567,491775989,0.0,0.0
1609129567.5900848,1609129567,589541912,0.0,0.0
1609129567.6953714,1609129567,692940950,0.0,0.0
1609129567.7968514,1609129567,795775890,0.0,0.0
1609129567.8878212,1609129567,886697053,0.0,0.0
1609129567.9965925,1609129567,995594978,0.0,0.0
1609129568.0798724,1609129568,79063892,0.0,0.0
1609129568.1855853,1609129568,185089111,0.0,0.0
1609129568.2900672,1609129568,288882017,0.0,0.0
1609129568.3869681,1609129568,385634899,0.0,0.0
1609129568.4886684,1609129568,486886024,0.0,0.0
1609129568.5901017,1609129568,588458061,0.0,0.0
1609129568.6906037,1609129568,689810991,0.0,0.0
1609129568.7943704,1609129568,793778896,0.0,0.0
1609129568.8833234,1609129568,882497072,0.0,0.0
1609129568.991045,1609129568,990113973,0.0,0.0
1609129569.0937054,1609129569,90940952,0.0,0.0
1609129569.1844673,1609129569,183648109,0.0,0.0
1609129569.2888148,1609129569,288283109,0.0,0.0
1609129569.3880346,1609129569,386024951,0.0,0.0
1609129569.4901643,1609129569,488801002,0.0,0.0
1609129569.5927362,1609129569,591368913,0.0,0.0
1609129569.6868367,1609129569,685991048,0.0,0.0
1609129569.7903266,1609129569,789212942,0.0,0.0
1609129569.8923244,1609129569,891802072,0.0,0.0
1609129569.9948785,1609129569,992619037,0.0,0.0
1609129570.0915515,1609129570,90493917,0.0,0.0
1609129570.193758,1609129570,192190885,0.0,0.0
